Age,Gender,Country,Region,High School Science Score,Biology Score,Chemistry Score,Physics Score,Mathematics Score,Undergraduate Degree,Medical School Ranking,Institution Type,Medical Entrance Exam Score,Ability to diagnose & treat patients,"Doctor-patient interaction, explaining procedures",Hand-Eye Coordination,Empathy,Analytical Thinking,Years of Medical Education,Clinical Internship Experience (Months),Research Experience (Months),Medical Certifications,Specialization Courses,Interest in Surgery,Interest in Patient Care,Interest in Laboratory & Research,Interest in Emergency Medicine,Interest in Mental Health & Psychology,Preferred Work Environment,Comfort with Long Working Hours,Willingness to Work in Rural Areas,Teamwork Preference,Predicted Medical Career Role
45,Male,Germany,Rural,99.46,72.37,75.87,86.11,63.74,BSc Biotech,Mid Tier,Private,81.55,5,5,5,8,6,11,22,9,8,1,8,3,4,1,6,Clinic,1,Yes,7,Cardiologist
51,Female,UK,Urban,78.3,69.85,95.71,92.2,95.98,BSc Nursing,Mid Tier,Public,50.14,8,5,5,6,6,12,6,12,1,3,2,7,3,2,8,Hospital,1,Yes,3,Emergency Medicine Specialist
59,Female,India,Urban,97.43,91.27,97.54,90.38,79.43,MBBS,Top Tier,Public,96.77,7,7,4,7,5,8,19,23,1,4,3,3,3,5,7,Clinic,8,No,1,Surgeon
23,Female,Germany,Urban,89.2,77.12,86.93,99.32,79.86,BDS,Top Tier,Private,73.15,9,9,7,7,5,14,11,18,4,0,2,7,4,7,9,Clinic,2,Yes,7,Radiologist
42,Male,India,Urban,74.92,82.1,80.05,98.01,90.78,MBBS,Low Tier,Public,58.72,6,5,7,6,5,6,17,13,0,0,9,5,4,3,1,Hospital,8,No,2,Emergency Medicine Specialist
54,Male,Germany,Urban,66.03,74.98,62.7,62.69,53.46,BSc Biotech,Top Tier,Private,59.15,8,9,9,6,6,6,20,14,4,1,8,2,3,3,8,Research Lab,7,No,2,Surgeon
33,Male,UK,Rural,99.13,66.27,72.04,60.91,60.48,BPharm,Low Tier,Private,67.06,7,8,7,6,6,6,5,16,5,0,3,1,3,5,6,Clinic,2,No,3,Pediatrician
43,Female,Australia,Rural,83.38,64.1,71.4,79.88,79.48,BSc Biotech,Top Tier,Public,52.12,6,9,8,6,7,7,7,2,5,2,5,7,8,4,5,Hospital,8,No,8,Psychiatrist
46,Female,Germany,Rural,67.69,94.73,62.33,70.87,80.52,BSc Biotech,Top Tier,Public,65.28,9,9,3,5,6,14,10,9,8,2,2,6,5,8,3,Hospital,7,No,4,Emergency Medicine Specialist
48,Male,USA,Rural,87.27,70.62,93.73,80.18,73.34,MBBS,Top Tier,Private,54.56,8,6,9,9,9,6,22,2,2,3,5,5,8,4,7,Research Lab,8,No,3,Medical Researcher
49,Female,Germany,Urban,63.68,97.66,94.68,63.63,89,BSc Biotech,Top Tier,Public,60.1,8,6,6,7,5,8,14,10,8,3,5,6,2,5,1,Clinic,7,Yes,4,Surgeon
37,Male,UK,Urban,94.72,97.89,96.49,96.35,67.28,BPharm,Top Tier,Public,50.9,9,8,3,7,8,6,11,19,5,0,1,6,8,1,4,Clinic,8,No,6,Medical Researcher
36,Female,Germany,Rural,63.61,79.16,89.67,90.96,50.56,BDS,Top Tier,Private,84.05,8,5,6,7,5,12,1,4,9,1,7,1,1,9,7,Research Lab,9,No,7,Emergency Medicine Specialist
24,Female,USA,Urban,69.45,98.34,88.42,82.08,67,MBBS,Low Tier,Public,78.78,9,6,8,7,7,10,6,23,2,0,3,8,9,5,5,Hospital,9,Yes,9,Cardiologist
58,Female,USA,Urban,63.66,61.14,79.11,78.6,98.29,BSc Biotech,Top Tier,Private,54.61,8,5,7,8,7,11,22,23,7,2,4,1,3,5,3,Hospital,7,No,5,Medical Researcher
28,Female,UK,Urban,64.15,63.67,94.3,78.74,88.95,BSc Nursing,Low Tier,Private,88.77,9,6,6,8,6,5,4,7,4,0,4,3,2,2,5,Research Lab,4,No,5,Nurse
42,Male,India,Urban,80.95,69.73,80.41,84.66,65.91,BDS,Low Tier,Public,84.4,8,6,6,6,9,12,4,0,6,0,9,1,7,2,2,Research Lab,3,No,1,General Physician
30,Male,Germany,Urban,87.48,68.37,61.19,81.81,61.12,MBBS,Top Tier,Public,57.72,5,5,5,6,6,13,1,14,5,1,6,2,2,4,4,Hospital,2,No,9,General Physician
39,Female,Australia,Urban,91.54,70.11,83.4,79.29,90.51,BPharm,Mid Tier,Public,52.07,5,7,6,8,5,7,21,7,1,2,1,6,6,2,4,Research Lab,7,No,9,Surgeon
25,Male,USA,Urban,87.8,78.09,75.62,87.17,59.99,BPharm,Mid Tier,Private,56.75,7,6,5,5,8,7,16,20,8,3,8,5,4,2,3,Hospital,7,No,1,Neurologist
46,Male,USA,Urban,74.54,62.52,80.85,90.6,79.01,BDS,Low Tier,Public,55.85,7,6,7,6,6,7,6,2,6,1,5,4,5,4,2,Research Lab,3,No,2,Neurologist
35,Female,Germany,Rural,82.29,82.22,77.63,85.72,75.4,BPharm,Top Tier,Public,80.52,9,8,3,5,7,10,9,9,8,3,6,2,5,1,2,Clinic,7,No,8,Psychiatrist
30,Male,India,Urban,97.11,72.38,79.87,75.66,71.13,MBBS,Mid Tier,Public,52.56,5,7,5,8,8,13,20,4,3,3,9,6,8,1,7,Research Lab,5,No,1,Medical Researcher
47,Female,Germany,Urban,75.5,62.86,64.34,76.57,71.3,MBBS,Mid Tier,Public,65.55,7,5,3,5,6,9,7,4,6,2,3,9,3,5,1,Pharma Industry,6,No,9,Medical Researcher
23,Female,UK,Urban,70.1,90.13,60.58,63.94,85.12,MBBS,Mid Tier,Public,67.95,9,7,5,5,8,11,11,13,5,2,5,3,2,7,2,Clinic,7,Yes,1,General Physician
41,Female,Australia,Rural,80.77,86.14,73.61,76.58,55.14,BSc Biotech,Mid Tier,Private,54.29,8,5,9,5,7,8,19,0,0,2,2,7,8,1,6,Hospital,8,Yes,4,Psychiatrist
49,Female,Germany,Urban,71.89,91.74,70.18,91.43,69.76,BPharm,Top Tier,Public,67.16,5,9,4,6,7,14,4,12,6,0,2,6,9,8,5,Clinic,5,No,7,Emergency Medicine Specialist
28,Female,USA,Urban,70.47,97.57,70,62.66,98.42,BSc Biotech,Mid Tier,Private,78.31,9,8,3,5,6,6,3,8,9,4,9,2,4,7,6,Research Lab,1,Yes,6,Neurologist
29,Female,USA,Rural,91.15,83.43,97.48,67.02,88.91,BPharm,Low Tier,Private,66.11,9,8,5,6,6,10,8,20,8,1,4,7,9,8,1,Clinic,4,No,9,Emergency Medicine Specialist
56,Female,UK,Urban,95.63,91.47,92.76,93.7,51.05,BPharm,Top Tier,Private,96.53,6,8,5,9,6,7,9,17,5,3,3,8,7,1,8,Pharma Industry,8,No,4,Psychiatrist
35,Male,India,Urban,80.09,67.97,60.53,82.72,72.35,BPharm,Mid Tier,Public,64.3,7,9,4,5,6,13,11,1,5,3,6,1,1,2,2,Hospital,3,No,7,Emergency Medicine Specialist
38,Female,Germany,Urban,91.19,76.41,60.35,86.85,55.86,BSc Nursing,Top Tier,Public,82.55,9,5,5,9,5,14,18,6,3,3,7,2,5,1,4,Pharma Industry,8,No,5,Radiologist
57,Female,Canada,Urban,67.48,81.2,91.08,72.86,74.24,BSc Biotech,Top Tier,Private,76.94,9,7,5,5,9,6,0,20,6,3,7,6,3,6,8,Research Lab,7,No,4,Emergency Medicine Specialist
25,Male,India,Rural,81.91,81.65,99.39,79.55,55.18,BDS,Top Tier,Private,68.76,7,6,7,9,6,8,13,19,5,1,2,7,8,8,4,Clinic,5,Yes,1,Emergency Medicine Specialist
23,Male,USA,Urban,85.45,88.73,78.61,90.46,69.46,BSc Biotech,Mid Tier,Private,98.44,6,9,5,8,7,8,4,1,3,4,6,6,9,7,4,Hospital,9,No,8,Psychiatrist
27,Female,Germany,Urban,79.63,91.84,77.33,95.04,77.25,BPharm,Mid Tier,Public,92.95,7,6,4,9,6,7,10,11,6,4,7,8,3,8,7,Research Lab,1,No,9,Emergency Medicine Specialist
25,Male,USA,Urban,64.68,86.67,71.03,98.97,68.37,BDS,Mid Tier,Private,60.03,6,8,3,9,5,7,4,3,9,1,8,4,4,9,8,Pharma Industry,8,No,2,Psychiatrist
50,Female,Australia,Urban,89.36,61.89,86.67,94.04,78.93,BDS,Low Tier,Private,98.62,6,8,8,7,5,6,16,13,7,4,2,1,7,5,2,Pharma Industry,5,No,1,Nurse
39,Female,India,Urban,93.56,74.05,78.87,62.7,99.25,BDS,Mid Tier,Public,50.95,5,7,7,9,7,8,10,3,2,3,6,7,1,2,4,Clinic,2,No,2,Neurologist
47,Male,Canada,Urban,85.41,82.9,66.7,73.73,62.29,BSc Nursing,Top Tier,Public,50.54,5,6,6,9,7,6,13,8,9,0,5,9,4,8,5,Research Lab,4,No,2,Emergency Medicine Specialist
55,Female,Australia,Urban,66.77,80.31,79.25,89.96,78.23,MBBS,Mid Tier,Private,54.77,9,6,8,6,8,7,12,6,8,2,6,9,5,4,5,Pharma Industry,3,No,1,Pharmacist
31,Male,Canada,Urban,62.98,61.79,75.05,76.72,73.57,BPharm,Top Tier,Public,67.78,9,6,9,5,6,7,14,12,5,1,7,8,8,6,7,Clinic,7,No,8,Medical Researcher
57,Female,Australia,Rural,72.06,99.23,95.59,77.45,90.46,BPharm,Top Tier,Public,68.25,9,8,3,7,5,13,20,23,0,4,1,9,3,9,2,Pharma Industry,7,No,4,General Physician
35,Male,India,Urban,61.48,98.24,90.86,91.77,65.74,BSc Biotech,Mid Tier,Private,52.79,5,7,5,6,8,9,14,0,3,3,3,7,7,8,3,Clinic,8,No,3,Emergency Medicine Specialist
52,Female,USA,Urban,93.57,90.95,88.05,93.34,81.9,BDS,Mid Tier,Public,87.15,5,9,6,7,6,14,1,22,6,0,1,1,7,3,2,Clinic,6,No,9,Cardiologist
36,Male,Canada,Urban,88.12,62.21,73.09,91.66,84.65,BSc Nursing,Low Tier,Private,66.04,7,5,4,5,7,12,9,1,7,3,7,9,6,8,4,Hospital,9,No,9,Emergency Medicine Specialist
29,Male,India,Rural,82.55,77.21,65.58,74.18,98.78,BDS,Top Tier,Private,97.4,9,9,6,9,9,11,10,11,3,0,9,5,2,1,8,Research Lab,9,No,9,Psychiatrist
35,Male,Canada,Urban,95.59,76.39,94.59,69.12,57.56,BSc Biotech,Low Tier,Public,99.91,7,8,9,5,9,6,0,23,3,0,6,3,5,5,3,Hospital,1,No,5,Orthopedic Doctor
44,Male,India,Urban,64.4,82.32,73.71,74.35,99.91,MBBS,Mid Tier,Public,84.51,7,6,4,9,8,8,21,20,2,3,6,9,7,6,1,Research Lab,2,No,9,Dermatologist
42,Female,Australia,Urban,88.58,62.24,83.72,88.06,86.06,BPharm,Top Tier,Public,55.76,5,9,3,7,9,10,0,3,4,4,7,8,3,3,5,Clinic,2,No,9,General Physician
37,Male,India,Urban,65.87,76.95,83.63,74.59,72.82,BDS,Low Tier,Public,75.86,7,8,3,9,8,12,11,4,8,1,3,7,3,1,1,Research Lab,3,No,3,Anesthesiologist
39,Female,Australia,Urban,62.44,90.31,97.12,62.22,63.18,BPharm,Top Tier,Public,89.24,5,9,7,5,5,7,2,10,7,3,2,1,9,3,6,Pharma Industry,7,Yes,1,General Physician
45,Female,USA,Urban,65.32,99.92,66.87,92.03,81.44,BSc Biotech,Mid Tier,Private,95.91,5,6,7,9,7,11,21,16,8,3,4,9,6,1,7,Hospital,3,No,3,Dermatologist
47,Female,Australia,Urban,98.04,83.82,90.87,62.54,57.09,MBBS,Mid Tier,Public,71.33,5,6,5,5,9,12,13,4,0,4,5,7,7,6,1,Clinic,9,No,8,Dermatologist
46,Female,UK,Rural,77.62,97.62,78.5,99.85,97.34,BSc Nursing,Low Tier,Public,50.01,8,8,5,5,7,7,9,22,7,1,7,3,8,5,1,Hospital,5,Yes,3,Cardiologist
50,Female,USA,Urban,61.96,99.94,66.99,94.46,59.22,MBBS,Mid Tier,Public,70.34,5,5,5,6,5,6,12,13,7,1,6,5,6,2,8,Clinic,1,No,4,Emergency Medicine Specialist
36,Male,Germany,Urban,83.35,77.39,93.43,98.25,88.72,BSc Nursing,Top Tier,Private,78.63,9,7,9,5,5,7,5,14,0,0,3,8,9,9,2,Research Lab,3,No,1,Emergency Medicine Specialist
22,Male,Germany,Urban,67.99,86.75,92.81,93.33,67.26,BDS,Top Tier,Private,55.55,6,5,9,6,5,12,1,9,8,2,2,6,6,1,3,Research Lab,3,No,7,Cardiologist
46,Female,India,Urban,60.27,68.53,61.61,64.04,60.79,MBBS,Low Tier,Private,82.31,7,8,6,8,6,8,8,20,9,2,2,6,2,8,3,Pharma Industry,6,Yes,5,Emergency Medicine Specialist
28,Female,India,Urban,90.34,79.03,88.38,76.75,90.43,BDS,Top Tier,Public,78.14,9,8,7,6,7,6,19,4,8,1,5,5,2,7,5,Pharma Industry,5,Yes,8,Nurse
30,Female,UK,Urban,66.19,63.14,66.14,96.32,94.39,MBBS,Top Tier,Public,73.89,5,8,8,9,5,8,8,2,3,2,1,5,3,6,1,Pharma Industry,5,No,8,Dentist
45,Male,India,Urban,97.7,61.17,84.41,63.64,50.28,BDS,Top Tier,Private,77.12,9,5,3,8,5,7,19,20,7,3,5,2,7,8,9,Clinic,8,No,7,Psychiatrist
22,Male,USA,Urban,83.71,95.72,85.75,72.21,98.71,BSc Biotech,Mid Tier,Public,51.49,9,7,7,6,6,7,10,4,7,3,3,1,3,7,9,Clinic,5,No,9,Orthopedic Doctor
29,Male,USA,Urban,63.48,94.34,86.61,78.68,71.1,BSc Biotech,Top Tier,Private,87.64,9,9,9,6,7,7,3,15,9,2,5,7,8,8,5,Clinic,5,No,5,Emergency Medicine Specialist
45,Female,Australia,Rural,68.71,72.48,64.8,78,54.8,BSc Nursing,Mid Tier,Private,84.94,8,8,7,7,8,11,5,19,8,4,7,5,8,4,2,Hospital,4,Yes,3,Medical Researcher
32,Female,Canada,Urban,84.43,78.28,83.93,97.76,72.66,MBBS,Top Tier,Private,60.04,6,6,9,6,6,9,6,21,3,0,3,4,1,7,7,Hospital,3,No,1,Cardiologist
38,Male,India,Rural,73.52,79.74,63.99,75.8,55.93,MBBS,Mid Tier,Public,53.83,8,8,9,8,7,9,5,18,5,0,8,5,6,5,3,Pharma Industry,1,No,2,Surgeon
29,Male,UK,Rural,81.29,80.83,89.82,69.56,62.94,BSc Nursing,Top Tier,Private,69.63,5,6,9,9,9,14,16,2,8,1,5,9,5,7,9,Clinic,9,No,6,Psychiatrist
56,Female,Germany,Urban,91.98,65.38,62.55,77.8,77.88,BDS,Mid Tier,Private,87.87,9,8,8,6,5,5,7,9,2,4,2,5,8,3,3,Pharma Industry,5,No,4,Neurologist
56,Female,USA,Rural,91.7,91,90.31,75.84,67.96,MBBS,Top Tier,Private,69.77,6,8,7,9,6,7,16,12,6,2,5,1,9,8,6,Research Lab,3,Yes,3,Emergency Medicine Specialist
54,Male,USA,Urban,87.92,73.91,95.34,84.93,61.39,BSc Nursing,Top Tier,Private,86.13,9,8,3,5,8,9,6,5,2,0,7,8,3,8,5,Pharma Industry,3,No,9,General Physician
26,Female,USA,Urban,95.44,61.27,71.94,99.77,59.82,BSc Nursing,Low Tier,Private,88.82,5,9,3,6,6,13,1,4,9,1,6,4,6,3,7,Pharma Industry,4,No,9,Dermatologist
49,Female,Canada,Urban,67.97,87.06,91.13,82.06,81.83,MBBS,Top Tier,Private,52.3,7,9,3,9,7,12,6,7,9,0,2,6,5,6,7,Pharma Industry,2,No,7,Cardiologist
28,Female,Canada,Urban,67.09,93.2,76.7,78.49,95.48,BPharm,Top Tier,Public,69.77,7,9,3,5,7,6,2,7,2,3,6,2,5,5,4,Research Lab,4,Yes,5,Dentist
30,Female,India,Urban,91.97,96.73,91.91,83.75,52.82,BDS,Top Tier,Private,99.41,6,8,5,8,6,5,11,8,1,2,2,9,9,2,7,Hospital,3,Yes,9,General Physician
29,Male,Germany,Urban,72.84,86.98,87.45,99.19,62.21,BPharm,Mid Tier,Public,51.31,9,7,5,5,6,7,10,15,8,3,4,8,6,9,4,Research Lab,4,No,4,Emergency Medicine Specialist
33,Male,UK,Rural,80.49,67.65,71.57,84.99,83.27,BPharm,Mid Tier,Public,94.75,9,5,4,5,5,7,3,7,1,1,3,4,1,6,1,Hospital,3,Yes,6,Surgeon
55,Female,Canada,Urban,89.76,83.59,67.75,64.92,99.37,BDS,Mid Tier,Public,55.85,9,7,5,6,9,9,21,4,3,4,6,5,1,8,7,Research Lab,1,No,6,Emergency Medicine Specialist
54,Male,Australia,Urban,75.84,96.47,96.59,96.51,84.07,BSc Biotech,Top Tier,Public,80.53,7,8,8,6,8,14,20,10,0,4,3,7,2,5,1,Pharma Industry,1,No,5,Cardiologist
44,Female,Canada,Rural,65.21,74.02,93.56,83.63,52.63,MBBS,Mid Tier,Public,97.49,8,9,9,9,8,9,17,22,4,1,6,6,8,6,8,Pharma Industry,8,No,3,Psychiatrist
45,Female,USA,Rural,87.18,98.13,86.4,66.32,58.94,BSc Nursing,Top Tier,Private,80.8,7,8,3,5,5,12,14,7,6,4,3,7,3,8,1,Research Lab,2,Yes,7,Emergency Medicine Specialist
58,Female,UK,Rural,92.69,63.91,73.97,69.22,67.38,MBBS,Mid Tier,Public,59.51,9,5,8,5,7,10,13,4,3,2,1,8,6,6,9,Clinic,9,No,9,Surgeon
56,Male,India,Rural,60.51,89.12,80.42,64.82,57.87,BPharm,Top Tier,Private,60.37,7,9,9,5,8,7,15,2,2,0,6,6,8,8,4,Clinic,4,No,8,Emergency Medicine Specialist
43,Male,Canada,Urban,82.5,64.8,82.31,98.43,59.11,BSc Biotech,Top Tier,Private,51.51,8,9,4,7,5,13,17,7,0,3,5,9,2,8,7,Clinic,6,No,6,General Physician
48,Female,USA,Urban,78.78,91.96,63.44,62.83,63.68,BSc Biotech,Mid Tier,Public,67.79,7,9,4,9,9,7,0,22,1,0,2,1,6,9,1,Clinic,6,No,2,Emergency Medicine Specialist
56,Male,Australia,Urban,70.38,63.91,98.89,90.58,68.64,MBBS,Top Tier,Public,79.24,8,5,7,6,7,9,18,8,3,3,7,6,1,4,2,Research Lab,5,No,2,Nurse
22,Female,Australia,Rural,66.44,73.03,63.67,73.51,69.59,BPharm,Top Tier,Public,90.52,7,7,6,8,6,7,1,20,8,0,2,9,3,3,7,Clinic,6,No,1,Surgeon
56,Female,India,Urban,67.52,91.07,88.87,63.24,74.97,BDS,Mid Tier,Private,79.14,5,6,7,5,9,8,14,22,9,2,1,3,2,3,3,Hospital,4,Yes,4,Dentist
58,Male,India,Urban,89,78.41,79.71,77.35,96.41,BSc Nursing,Low Tier,Private,95.6,7,6,4,8,8,10,14,3,2,2,8,5,8,4,2,Pharma Industry,4,No,9,Medical Researcher
35,Female,Canada,Urban,81.45,95.31,90.4,60.01,99.67,BSc Biotech,Low Tier,Public,84.57,5,6,5,8,5,5,19,13,6,2,1,3,8,2,2,Pharma Industry,5,No,7,Anesthesiologist
24,Male,India,Urban,99.25,76.07,70.44,92.69,50.99,BSc Nursing,Low Tier,Public,77.65,8,5,9,6,6,7,4,0,3,3,7,1,3,5,9,Hospital,1,No,9,Dentist
22,Male,Germany,Urban,69.73,99.8,75.8,81.68,74.69,BPharm,Top Tier,Public,60.3,5,6,6,9,8,14,3,18,8,2,3,7,7,2,2,Clinic,5,Yes,3,Medical Researcher
26,Female,Germany,Urban,98.28,60.75,81.02,78.07,87.6,MBBS,Mid Tier,Private,89.26,8,9,4,7,8,14,16,15,5,1,9,2,3,1,7,Pharma Industry,6,Yes,7,Orthopedic Doctor
47,Female,USA,Urban,80.6,87.84,64.83,93.17,53.66,BPharm,Low Tier,Public,65.15,6,8,9,9,6,11,17,12,2,0,8,1,6,4,8,Clinic,6,No,6,Surgeon
35,Female,USA,Urban,65.84,96.64,94.07,80.77,97.06,BSc Biotech,Mid Tier,Private,66.04,6,5,6,8,5,14,12,9,1,1,9,9,6,2,1,Hospital,9,No,3,Cardiologist
48,Female,USA,Rural,65.93,81.44,99.66,83.81,96.89,MBBS,Top Tier,Private,55.3,8,7,4,9,7,7,18,3,2,1,5,5,8,4,2,Pharma Industry,7,No,3,Dermatologist
30,Female,Germany,Rural,84.34,99.54,76.7,92.59,60.42,BSc Nursing,Mid Tier,Public,52.54,7,6,7,7,8,14,6,8,6,2,8,9,9,5,8,Clinic,9,No,7,Medical Researcher
36,Male,Canada,Urban,93.26,88.32,75.07,88.82,89.29,BSc Biotech,Mid Tier,Public,72.76,5,5,9,7,9,7,20,11,0,1,8,2,7,3,2,Research Lab,8,No,5,Surgeon
36,Male,Canada,Rural,89.91,77.18,83.76,86.36,79.07,MBBS,Mid Tier,Private,56.14,9,6,8,7,8,7,17,19,7,1,7,2,7,9,1,Research Lab,5,No,8,Emergency Medicine Specialist
47,Female,India,Rural,86.23,80.62,87.55,88.17,51.7,MBBS,Mid Tier,Public,66.93,7,9,6,8,8,10,9,23,0,0,3,6,2,9,3,Research Lab,2,No,5,Emergency Medicine Specialist
34,Male,Canada,Urban,66.88,95.1,94.74,70.52,64.87,BSc Nursing,Top Tier,Private,91.89,5,7,4,9,8,14,6,3,1,3,6,9,1,8,3,Pharma Industry,2,Yes,5,Emergency Medicine Specialist
53,Female,USA,Rural,64.33,98.3,74.92,64.69,63.17,BPharm,Top Tier,Public,66.47,8,6,9,6,9,5,2,22,1,0,1,5,5,7,4,Pharma Industry,3,No,7,General Physician
53,Female,UK,Rural,60.01,82.24,90.59,84.91,93.99,BPharm,Mid Tier,Public,81.03,8,9,6,7,5,7,22,13,1,0,1,9,7,9,2,Hospital,6,No,3,General Physician
25,Female,USA,Urban,64.07,72.29,69.6,68.96,94.88,BPharm,Low Tier,Public,92.55,8,8,4,6,8,9,5,23,9,3,8,7,7,2,3,Research Lab,9,No,1,Emergency Medicine Specialist
51,Male,Germany,Urban,90.65,69.57,87.22,61.9,51.72,BSc Biotech,Top Tier,Public,57.46,7,6,4,6,8,11,5,5,8,3,6,7,5,6,3,Hospital,2,No,9,Pharmacist
58,Male,UK,Urban,95.81,79.08,78.67,70.17,87.07,MBBS,Top Tier,Private,97.33,7,9,6,8,6,12,14,17,7,1,7,3,8,9,3,Hospital,2,No,4,Emergency Medicine Specialist
44,Male,India,Rural,69.61,71.85,86.47,88.81,55.99,BDS,Mid Tier,Private,78.01,5,5,5,7,8,10,14,19,7,0,4,7,4,3,1,Pharma Industry,9,Yes,7,Psychiatrist
36,Female,Australia,Urban,91.8,76.83,75.19,88.34,89.55,BDS,Top Tier,Private,86.78,6,7,4,8,8,14,1,12,9,4,5,9,6,7,3,Clinic,8,No,1,Surgeon
50,Female,Canada,Urban,67.95,93.38,71.77,96.13,92.28,BSc Nursing,Top Tier,Public,92.91,8,9,5,8,7,12,2,21,6,2,7,9,6,3,5,Research Lab,8,No,5,General Physician
57,Female,Canada,Urban,69.97,78.88,79.44,87.01,52.96,MBBS,Top Tier,Private,88.95,7,9,8,9,7,9,9,14,7,0,6,1,6,3,9,Research Lab,6,No,9,Psychiatrist
34,Female,Germany,Urban,68.97,85.64,95.8,77.59,66.31,BSc Biotech,Mid Tier,Public,62.06,9,5,4,8,6,5,19,0,5,1,6,7,7,4,3,Hospital,6,Yes,1,Pediatrician
53,Male,USA,Urban,62.07,63.6,86.99,70.42,68.98,MBBS,Mid Tier,Public,62.55,6,9,8,9,5,13,9,19,2,1,7,6,1,5,3,Clinic,6,No,7,Nurse
28,Female,USA,Urban,67.76,90.49,84.47,90.34,97.76,BSc Nursing,Mid Tier,Private,58.92,5,6,4,9,8,13,15,15,0,2,7,2,7,9,2,Research Lab,9,No,3,Emergency Medicine Specialist
43,Female,UK,Rural,74.94,79.32,88.79,76.48,68.55,BDS,Mid Tier,Private,59.76,8,5,4,7,5,7,3,12,5,2,4,9,5,3,3,Hospital,1,Yes,8,Surgeon
49,Male,Canada,Rural,76.22,74.44,89.16,92.62,62.8,BSc Biotech,Top Tier,Public,90.23,6,8,5,6,8,7,5,3,4,3,7,8,9,5,5,Hospital,2,Yes,5,General Physician
23,Male,Germany,Urban,72.38,84.44,71.79,94.07,80.98,BDS,Top Tier,Public,78.02,9,9,4,7,5,13,3,14,5,0,4,2,5,2,5,Research Lab,6,No,7,Psychiatrist
