Creativity Score,Adobe Photoshop Proficiency,Adobe Illustrator Proficiency,Adobe After Effects Proficiency,3D Modeling Skill,UI/UX Knowledge,Video Editing Skill,Game Design Knowledge,Sketching/Drawing Skill,Typography Skill,Color Theory Knowledge,Branding Knowledge,Web Development Knowledge,Fashion Design Knowledge,Interior Design Knowledge,Product Design Knowledge,Illustration Skill,Animation Skill,Years of Experience,Preferred Design Style,Career Role
8,7,6,4,1,4,4,5,5,6,5,8,2,3,3,2,4,2,8,Minimalist,Art Director
6,3,4,4,2,4,2,4,2,4,4,5,3,1,1,9,3,3,6,Classic,Product Designer
6,5,6,7,9,4,7,2,5,4,3,3,4,2,1,4,4,7,5,Modern,Animator
6,3,7,4,3,2,2,4,8,4,7,4,1,2,3,3,7,5,6,Abstract,Illustration Artist
9,7,5,7,7,5,8,3,2,3,3,4,3,2,2,2,3,7,10,Cartoon,Animator
6,4,5,6,8,2,4,1,7,3,3,3,2,1,3,3,9,3,6,Realistic,Concept Artist
6,5,4,5,5,2,5,3,5,3,4,2,1,1,1,3,5,2,4,Classic,Packaging Designer
7,4,8,6,3,3,2,5,9,5,7,5,4,3,1,4,7,2,4,Modern,Illustration Artist
7,7,4,9,3,4,8,3,4,3,6,4,2,2,2,2,5,4,10,Classic,Video Editor
6,6,4,6,8,3,2,7,4,6,6,4,4,1,1,4,5,3,1,Futuristic,Game Designer
7,9,8,2,3,6,3,1,3,9,9,7,2,1,1,2,4,5,6,Futuristic,Branding & Identity Designer
4,7,9,4,5,2,2,1,3,7,7,3,1,3,3,4,3,3,6,Abstract,Graphic Designer
5,9,4,4,2,9,2,3,4,6,5,4,8,1,3,4,4,2,8,Minimalist,Web Designer
4,7,7,4,2,5,3,5,2,9,7,7,1,2,2,4,5,2,8,Realistic,Branding & Identity Designer
6,3,7,4,9,4,3,5,7,3,3,4,2,1,2,3,9,3,2,Realistic,Concept Artist
7,3,4,4,4,7,5,5,4,5,5,3,8,3,2,2,3,4,7,Abstract,UX/UI Designer
7,4,7,2,1,4,5,3,4,3,6,2,3,1,3,3,3,5,8,Modern,Packaging Designer
5,5,5,5,4,6,3,5,3,5,5,3,3,2,3,1,5,2,3,Classic,Packaging Designer
8,5,6,6,8,3,2,9,2,6,5,3,3,2,3,3,5,5,4,Abstract,Game Designer
8,7,3,3,5,5,4,4,3,4,6,7,2,2,3,2,5,5,1,Cartoon,Art Director
7,5,3,2,8,6,2,1,8,4,5,5,2,2,1,1,8,4,5,Classic,Concept Artist
6,4,7,3,4,2,3,2,7,3,7,3,4,9,1,2,4,2,9,Abstract,Fashion Designer
6,4,6,7,1,6,9,2,2,3,4,6,4,2,2,2,4,8,1,Abstract,Motion Graphics Designer
6,7,6,9,2,6,7,3,5,5,6,5,1,3,3,4,5,3,2,Classic,Video Editor
8,3,4,5,4,4,4,4,4,3,4,4,1,3,8,1,4,3,5,Modern,Interior Designer
4,3,3,7,1,6,9,2,2,5,5,4,2,1,3,2,4,8,3,Classic,Motion Graphics Designer
8,6,5,4,1,6,2,2,2,5,3,5,2,3,3,7,3,4,5,Cartoon,Product Designer
4,4,3,5,3,3,2,5,3,5,6,3,4,3,1,3,4,2,6,Modern,Packaging Designer
7,7,3,4,8,4,4,5,8,5,4,5,3,3,2,3,8,4,1,Realistic,Concept Artist
6,6,6,7,2,4,7,3,5,4,5,5,3,3,1,4,3,3,9,Abstract,Video Editor
8,4,3,6,2,5,3,2,4,5,4,3,2,3,9,1,3,3,3,Cartoon,Interior Designer
6,6,7,2,5,8,2,4,2,6,6,5,9,1,2,2,3,4,7,Futuristic,UX/UI Designer
7,7,7,2,3,6,3,2,5,8,8,6,1,1,1,2,5,2,1,Futuristic,Graphic Designer
4,6,6,4,2,7,2,5,4,6,4,4,8,1,2,1,5,5,4,Abstract,UX/UI Designer
6,6,7,6,3,6,3,2,4,4,3,8,1,1,2,3,4,2,5,Abstract,Art Director
4,7,9,5,2,2,2,3,3,9,8,8,2,1,3,4,5,3,8,Classic,Branding & Identity Designer
6,3,3,5,8,6,3,3,7,6,5,4,4,1,1,3,7,3,10,Modern,Concept Artist
4,3,7,4,3,8,5,4,4,4,6,4,7,2,2,2,3,5,5,Cartoon,UX/UI Designer
6,3,4,6,8,6,4,2,9,6,6,3,4,3,1,1,7,3,8,Modern,Concept Artist
6,6,3,4,3,2,2,3,7,3,7,3,4,9,3,2,5,2,10,Modern,Fashion Designer
4,5,4,8,3,6,8,2,5,4,4,6,1,3,2,4,3,8,1,Modern,Motion Graphics Designer
4,7,4,5,5,9,5,3,3,5,4,2,8,3,3,2,3,2,6,Minimalist,Web Designer
7,6,6,3,4,4,5,1,5,4,3,8,2,1,2,2,5,3,2,Classic,Art Director
8,6,6,4,3,7,5,5,4,3,4,4,9,2,3,2,4,3,2,Classic,UX/UI Designer
8,6,3,4,5,2,4,5,2,5,6,3,3,2,2,3,5,4,1,Modern,Packaging Designer
7,7,7,6,3,5,3,3,2,7,9,9,1,2,2,3,4,2,3,Realistic,Branding & Identity Designer
4,7,8,5,3,5,3,1,2,7,7,9,3,2,2,4,5,4,5,Classic,Branding & Identity Designer
7,4,5,5,8,2,3,8,4,3,4,5,4,1,2,4,3,5,6,Minimalist,Game Designer
8,7,4,9,5,2,7,2,3,6,4,4,1,1,1,4,4,7,8,Cartoon,Motion Graphics Designer
8,5,3,7,7,5,7,2,5,6,4,5,1,2,1,1,3,7,1,Cartoon,Animator
8,8,8,3,2,3,3,2,3,9,7,4,1,3,3,2,3,3,9,Classic,Graphic Designer
4,4,6,3,4,5,3,3,4,5,5,5,4,2,2,2,4,4,3,Classic,Packaging Designer
4,6,4,8,3,3,8,4,4,6,3,2,1,3,2,3,5,8,4,Modern,Motion Graphics Designer
8,7,9,6,3,5,3,2,4,8,7,7,3,3,2,3,5,2,6,Abstract,Branding & Identity Designer
4,6,3,6,2,6,5,4,2,6,6,5,2,2,7,3,3,5,10,Minimalist,Interior Designer
8,8,6,3,2,8,4,2,4,5,4,6,9,1,2,4,3,4,1,Classic,Web Designer
6,4,6,8,2,5,8,2,4,3,3,6,1,2,2,4,3,9,8,Futuristic,Motion Graphics Designer
4,6,4,2,3,2,2,4,3,5,3,7,3,1,1,3,5,4,10,Modern,Art Director
6,4,7,3,4,2,2,5,5,6,5,5,1,1,2,7,5,2,5,Abstract,Product Designer
9,7,3,7,9,5,9,5,5,4,4,3,1,3,1,4,4,7,1,Realistic,Animator
6,8,7,6,3,6,2,1,4,8,8,7,2,3,3,2,4,2,2,Abstract,Branding & Identity Designer
8,3,5,3,4,5,4,5,5,6,4,3,4,3,8,1,3,4,8,Futuristic,Interior Designer
8,7,4,2,2,4,3,2,3,3,4,2,4,3,1,2,3,2,3,Modern,Packaging Designer
8,7,3,3,4,3,3,1,2,3,3,6,1,1,1,3,3,4,4,Minimalist,Packaging Designer
5,7,6,4,2,3,2,1,4,5,3,4,1,2,2,9,3,2,1,Realistic,Product Designer
7,4,7,4,4,6,2,1,7,6,7,4,4,8,2,3,5,5,10,Minimalist,Fashion Designer
5,3,5,6,2,8,3,4,2,3,4,2,7,2,1,3,5,4,7,Realistic,UX/UI Designer
5,6,5,4,5,6,4,3,4,6,5,6,4,3,1,4,5,4,4,Futuristic,Packaging Designer
8,7,8,4,2,6,5,5,5,8,9,7,3,3,2,4,4,3,2,Realistic,Branding & Identity Designer
4,7,6,8,1,4,9,4,3,5,3,2,2,1,2,4,4,4,6,Minimalist,Video Editor
4,6,7,8,3,6,9,5,3,6,3,3,1,3,2,4,4,2,10,Modern,Video Editor
4,4,5,6,4,8,5,3,5,6,5,3,7,2,3,4,4,2,7,Minimalist,UX/UI Designer
7,7,9,2,3,5,3,1,9,3,7,6,3,3,3,4,9,3,9,Cartoon,Illustration Artist
8,7,3,2,2,9,4,5,3,5,4,6,9,1,1,3,5,5,3,Minimalist,Web Designer
7,8,8,3,5,5,5,5,2,9,7,7,3,2,1,3,3,2,2,Modern,Branding & Identity Designer
7,7,9,6,2,4,3,4,2,8,9,8,2,2,3,4,4,3,1,Abstract,Branding & Identity Designer
8,4,6,8,8,5,7,5,2,5,5,2,3,2,2,2,3,9,1,Classic,Animator
7,6,5,6,4,4,5,5,7,3,8,6,4,8,2,2,5,5,1,Modern,Fashion Designer
6,6,6,8,7,5,7,2,2,4,3,6,2,3,1,1,3,9,3,Realistic,Animator
7,4,6,3,3,4,4,4,2,6,4,5,3,1,8,2,4,2,3,Futuristic,Interior Designer
5,5,6,2,5,4,3,3,3,5,4,5,2,2,1,8,3,2,6,Cartoon,Product Designer
4,6,3,8,5,5,9,3,2,4,3,6,1,2,1,2,3,4,4,Modern,Video Editor
8,7,9,5,2,6,5,5,4,8,8,9,3,3,3,1,5,3,10,Classic,Branding & Identity Designer
6,4,8,4,2,6,4,1,9,5,7,4,1,1,2,2,9,4,1,Abstract,Illustration Artist
9,6,9,2,5,5,5,5,8,5,8,6,4,3,2,4,7,4,7,Realistic,Illustration Artist
8,6,7,6,8,6,3,2,8,5,3,6,2,3,2,4,9,2,1,Classic,Concept Artist
8,7,4,3,5,6,2,2,2,3,6,7,3,1,3,3,3,5,7,Realistic,Art Director
8,4,6,3,4,5,3,3,7,3,7,3,1,8,1,1,3,5,1,Modern,Fashion Designer
4,3,3,3,4,6,2,2,8,4,7,5,3,9,2,4,5,3,8,Minimalist,Fashion Designer
4,3,6,9,5,4,7,4,2,5,3,6,4,1,3,3,3,2,3,Abstract,Video Editor
6,3,7,5,5,8,4,4,4,6,5,4,9,3,3,3,4,2,5,Realistic,UX/UI Designer
5,8,9,5,1,2,2,2,4,8,9,2,4,2,2,1,3,2,10,Modern,Graphic Designer
5,4,7,5,4,4,5,2,3,3,3,5,2,3,8,3,3,5,2,Abstract,Interior Designer
4,3,5,5,2,2,3,4,3,6,3,5,4,3,2,7,3,4,10,Abstract,Product Designer
4,7,9,3,5,6,3,5,3,8,8,5,4,3,2,2,5,2,6,Minimalist,Graphic Designer
9,7,7,3,2,6,2,4,9,4,9,4,3,1,2,3,7,2,1,Classic,Illustration Artist
6,9,8,4,5,5,4,1,5,7,9,3,2,1,1,3,3,5,8,Abstract,Graphic Designer
6,4,4,4,1,8,2,3,4,4,3,6,7,2,2,2,4,3,1,Minimalist,UX/UI Designer
4,8,7,2,4,9,5,3,4,5,4,4,7,2,3,1,4,5,6,Realistic,Web Designer
6,4,7,6,5,8,3,4,5,3,3,5,7,3,3,4,3,3,3,Modern,UX/UI Designer
8,4,6,8,2,3,9,4,5,5,3,4,2,1,2,2,4,2,4,Realistic,Video Editor
6,7,6,2,1,3,4,4,2,5,6,9,3,3,1,4,4,2,1,Cartoon,Art Director
4,6,6,9,3,5,9,1,3,6,3,2,4,1,2,2,5,2,1,Modern,Video Editor
7,7,3,9,7,4,7,3,3,5,4,3,3,1,1,4,3,7,5,Classic,Animator
5,7,6,3,4,3,4,1,5,3,6,2,2,2,1,3,3,5,5,Modern,Packaging Designer
7,4,6,4,4,3,5,2,2,3,4,5,1,1,3,8,4,4,9,Cartoon,Product Designer
8,6,4,7,3,3,9,4,5,5,6,6,2,2,2,1,3,3,5,Futuristic,Video Editor
5,7,5,3,5,2,4,3,7,3,7,6,1,7,2,1,5,3,9,Futuristic,Fashion Designer
8,3,3,6,7,3,5,2,9,3,5,2,1,2,2,2,8,3,1,Abstract,Concept Artist
5,7,7,3,1,8,3,2,5,6,5,6,9,2,3,4,4,5,10,Minimalist,UX/UI Designer
6,5,3,6,4,3,4,4,3,6,4,9,4,1,3,2,4,4,9,Cartoon,Art Director
5,6,4,2,9,3,2,8,4,6,6,2,2,3,2,3,5,2,2,Cartoon,Game Designer
8,5,7,4,9,5,3,4,7,6,3,6,4,3,1,3,9,5,8,Cartoon,Concept Artist
5,8,6,5,4,8,4,3,2,5,5,3,9,2,1,4,3,4,8,Classic,Web Designer
8,9,7,5,3,2,5,3,3,9,7,6,3,1,1,2,3,3,4,Classic,Graphic Designer
7,4,5,4,5,2,4,1,5,3,6,8,2,2,2,1,5,2,9,Classic,Art Director
7,4,5,5,4,7,4,2,4,6,6,2,7,2,2,3,4,3,5,Minimalist,UX/UI Designer
9,4,3,6,9,5,3,1,9,5,4,3,3,1,3,4,8,2,5,Classic,Concept Artist
7,5,5,4,7,5,2,8,3,5,6,5,3,3,2,1,3,5,7,Futuristic,Game Designer
6,8,3,6,3,7,2,5,3,6,4,5,7,3,1,3,3,4,2,Minimalist,Web Designer
6,3,5,9,3,4,8,4,2,6,4,4,3,2,3,2,5,5,1,Abstract,Video Editor
4,4,3,9,3,4,8,3,2,6,6,6,3,2,3,1,5,5,7,Modern,Video Editor
4,6,5,5,5,6,5,1,8,3,7,5,1,8,3,1,5,2,9,Abstract,Fashion Designer
9,5,6,5,8,2,2,1,9,5,5,6,2,1,2,4,9,4,2,Abstract,Concept Artist
8,7,7,7,3,5,7,5,2,3,3,2,4,3,1,2,3,7,7,Cartoon,Motion Graphics Designer
7,6,3,9,2,5,7,5,4,4,6,2,1,3,3,3,4,5,3,Futuristic,Video Editor
7,4,4,4,1,2,5,1,3,3,3,5,2,2,3,4,5,5,10,Minimalist,Packaging Designer
4,3,7,6,1,4,5,3,7,6,7,6,1,8,1,2,3,3,8,Futuristic,Fashion Designer
6,7,4,6,5,7,5,2,4,4,4,2,7,1,1,1,3,5,5,Futuristic,Web Designer
6,5,3,6,3,4,4,5,4,4,3,2,4,3,7,1,3,5,1,Minimalist,Interior Designer
8,8,9,5,2,6,5,1,4,8,9,6,3,3,1,3,4,3,2,Classic,Graphic Designer
7,3,6,3,5,4,4,4,5,6,3,2,4,2,9,3,3,4,2,Futuristic,Interior Designer
8,7,8,3,3,4,2,2,3,8,9,2,1,3,3,4,4,4,5,Minimalist,Graphic Designer
5,7,5,3,1,2,3,4,4,5,3,6,3,2,1,1,4,2,9,Futuristic,Packaging Designer
4,8,6,6,3,8,5,3,2,5,3,6,8,2,2,4,4,5,3,Abstract,Web Designer
8,6,6,9,7,4,8,3,2,4,6,5,1,3,2,4,3,9,4,Cartoon,Animator
8,3,3,5,3,6,3,4,8,6,9,4,3,9,3,2,5,2,1,Cartoon,Fashion Designer
8,4,6,8,1,5,7,5,3,3,4,4,3,3,1,4,4,4,6,Futuristic,Video Editor
8,5,4,4,8,4,2,5,8,4,3,3,1,1,2,4,7,4,7,Minimalist,Concept Artist
7,6,4,7,7,6,7,3,4,4,6,2,1,2,1,1,3,7,2,Cartoon,Animator
8,8,7,4,3,4,3,2,5,7,9,3,1,1,2,3,3,5,7,Cartoon,Graphic Designer
7,5,3,9,5,4,7,2,4,6,5,6,1,3,2,4,4,7,8,Futuristic,Motion Graphics Designer
5,9,7,6,4,6,2,5,5,8,9,9,4,3,1,2,5,3,6,Cartoon,Branding & Identity Designer
8,5,6,7,1,5,7,2,5,4,3,4,3,2,2,3,5,8,4,Cartoon,Motion Graphics Designer
7,5,7,4,3,2,4,2,7,5,7,4,2,3,3,3,9,5,7,Classic,Illustration Artist
8,9,9,2,4,6,2,1,2,7,9,9,2,3,3,1,3,4,7,Modern,Branding & Identity Designer
5,7,5,4,2,3,5,5,5,6,4,7,4,3,2,1,4,4,3,Classic,Art Director
6,4,4,2,3,2,5,1,7,3,9,6,1,7,1,3,3,5,3,Abstract,Fashion Designer
5,3,4,8,4,4,9,3,3,6,3,6,4,2,1,1,5,4,6,Realistic,Video Editor
5,3,4,8,4,5,8,2,3,3,6,5,2,3,3,4,5,3,8,Minimalist,Video Editor
6,7,7,2,1,2,3,5,2,3,5,6,3,1,1,8,5,2,7,Classic,Product Designer
5,4,6,5,4,3,3,2,5,4,6,6,4,3,8,2,5,5,7,Minimalist,Interior Designer
9,4,9,3,2,3,4,3,7,6,7,2,3,1,2,1,8,3,6,Realistic,Illustration Artist
4,9,8,2,5,5,2,5,5,9,7,2,3,3,1,3,4,5,4,Minimalist,Graphic Designer
7,4,5,6,3,2,3,4,4,3,3,3,3,2,1,7,5,2,8,Cartoon,Product Designer
5,7,7,4,5,6,2,4,4,3,6,2,2,1,7,4,5,4,5,Futuristic,Interior Designer
5,3,7,5,1,4,4,2,5,4,5,5,1,3,7,1,4,2,4,Abstract,Interior Designer
5,7,7,4,1,5,2,5,2,8,7,5,2,3,2,4,3,5,8,Modern,Graphic Designer
4,6,7,5,3,9,2,1,2,4,4,3,7,3,1,2,4,2,5,Futuristic,UX/UI Designer
7,4,3,8,8,4,7,3,4,4,3,5,2,1,3,1,4,8,6,Minimalist,Animator
4,6,6,2,4,3,5,3,3,3,4,4,3,2,1,8,3,3,7,Minimalist,Product Designer
8,3,3,3,4,2,3,4,5,6,5,7,4,1,3,4,5,4,9,Futuristic,Art Director
6,3,3,7,3,5,9,5,2,3,4,3,4,1,3,4,5,5,10,Cartoon,Video Editor
7,4,3,6,4,8,4,4,3,3,3,4,8,3,2,1,4,2,10,Modern,UX/UI Designer
6,7,5,9,5,6,9,4,4,5,3,2,3,2,2,4,3,4,9,Modern,Video Editor
5,4,3,3,5,5,5,1,4,6,4,2,2,2,3,8,5,5,10,Minimalist,Product Designer
8,7,4,3,5,4,3,5,5,6,3,4,4,1,1,9,3,3,6,Minimalist,Product Designer
6,6,5,5,9,3,3,1,9,3,3,3,3,3,3,2,8,3,10,Classic,Concept Artist
7,6,5,6,3,6,3,1,4,5,3,3,2,3,1,8,4,5,4,Modern,Product Designer
4,5,3,4,4,3,3,5,3,6,3,6,2,1,8,3,5,2,8,Realistic,Interior Designer
5,6,4,4,5,4,2,5,4,6,3,6,2,1,2,4,5,4,2,Realistic,Packaging Designer
6,3,3,7,1,4,7,3,4,3,5,4,2,2,1,2,3,5,4,Classic,Video Editor
6,5,8,5,1,3,2,2,8,3,9,3,3,3,1,1,7,3,1,Realistic,Illustration Artist
4,4,7,7,5,5,7,3,5,5,3,4,4,2,3,3,3,5,7,Realistic,Video Editor
8,4,7,6,8,5,4,2,9,4,6,6,1,1,3,4,9,3,9,Abstract,Concept Artist
6,6,4,4,5,2,4,3,5,5,3,8,1,2,3,2,3,2,7,Classic,Art Director
8,6,7,7,5,2,7,5,2,6,4,6,1,2,3,3,4,7,4,Cartoon,Motion Graphics Designer
6,5,6,5,8,4,4,9,2,3,3,3,2,2,2,1,3,5,3,Futuristic,Game Designer
4,5,6,6,5,2,5,3,4,5,4,3,4,3,2,3,4,2,1,Minimalist,Packaging Designer
6,8,8,2,1,5,5,4,4,7,9,6,1,2,1,1,5,2,3,Cartoon,Graphic Designer
7,3,3,3,3,2,4,2,4,3,4,2,1,2,3,7,3,2,6,Modern,Product Designer
7,6,7,4,1,9,2,4,5,5,3,2,7,3,2,3,4,2,3,Minimalist,UX/UI Designer
6,6,5,3,1,3,2,4,5,5,3,4,2,1,7,1,5,2,1,Abstract,Interior Designer
8,5,7,4,3,5,5,3,4,4,3,5,3,3,8,4,4,4,9,Realistic,Interior Designer
6,5,4,9,9,4,8,4,5,6,6,2,1,2,1,3,3,9,1,Realistic,Animator
4,7,3,5,5,4,2,2,5,3,5,6,3,2,2,3,5,5,1,Minimalist,Packaging Designer
8,6,5,6,4,6,5,2,4,4,3,2,4,2,2,1,4,2,2,Abstract,Packaging Designer
5,7,6,2,7,3,3,7,2,5,3,5,3,3,3,2,4,2,3,Realistic,Game Designer
9,4,6,8,8,3,9,3,2,5,4,5,3,1,2,4,5,9,2,Cartoon,Animator
8,8,5,4,2,7,2,1,4,6,5,5,8,1,1,3,4,2,10,Modern,Web Designer
6,5,8,4,5,4,5,4,8,4,7,6,4,1,1,1,9,2,9,Realistic,Illustration Artist
7,5,3,3,4,2,2,2,5,6,4,2,2,2,3,8,4,4,4,Futuristic,Product Designer
6,7,3,5,4,6,4,1,4,4,5,7,3,1,1,2,4,5,8,Modern,Art Director
4,7,9,5,1,2,3,5,4,8,9,6,2,3,2,2,3,4,2,Classic,Graphic Designer
5,8,5,5,3,9,2,3,3,4,3,4,8,3,2,2,3,2,6,Modern,Web Designer
6,3,3,7,5,2,8,3,2,4,3,3,3,3,2,2,4,9,5,Classic,Motion Graphics Designer
7,4,4,4,2,7,2,4,3,6,5,6,9,2,3,1,5,4,6,Abstract,UX/UI Designer
5,3,3,8,5,6,7,1,3,6,3,3,3,3,1,3,5,9,4,Minimalist,Motion Graphics Designer
8,3,6,5,4,4,5,2,4,3,3,6,3,2,1,1,5,3,7,Minimalist,Packaging Designer
9,7,8,3,1,3,3,1,7,3,7,2,2,3,1,3,9,3,9,Modern,Illustration Artist
7,7,4,9,7,5,9,3,3,3,5,2,1,3,1,3,3,8,4,Realistic,Animator
8,3,7,8,5,5,8,1,3,3,4,4,4,2,3,2,4,8,3,Modern,Motion Graphics Designer
7,4,3,8,4,4,8,3,3,5,4,5,4,3,1,1,5,2,1,Classic,Video Editor
6,5,4,3,7,6,3,8,4,3,4,2,2,1,3,1,3,2,7,Abstract,Game Designer
5,3,7,6,2,2,4,2,2,5,3,7,1,2,1,3,3,4,3,Classic,Art Director
8,7,5,3,4,7,3,4,2,6,6,2,7,1,2,4,3,4,3,Realistic,Web Designer
4,7,5,4,2,2,2,3,4,3,4,2,4,2,9,4,4,5,8,Cartoon,Interior Designer
7,3,6,9,4,5,7,1,2,4,4,6,1,2,3,4,3,9,10,Futuristic,Motion Graphics Designer
8,9,9,4,3,5,4,4,5,9,8,4,4,3,2,3,4,3,1,Minimalist,Graphic Designer
4,6,6,3,5,2,5,1,3,4,3,7,2,3,2,4,3,4,5,Cartoon,Art Director
6,7,5,5,1,9,5,5,3,3,6,4,7,2,2,1,3,3,10,Realistic,Web Designer
7,8,7,6,3,4,2,5,4,8,8,5,2,3,3,4,3,3,2,Minimalist,Graphic Designer
5,6,5,3,9,3,3,7,5,4,4,2,3,3,2,3,4,2,1,Futuristic,Game Designer
7,7,6,7,8,6,9,4,4,4,4,6,3,3,3,3,4,8,5,Classic,Animator
7,6,3,7,5,6,7,3,4,3,6,3,4,2,1,4,4,9,8,Abstract,Motion Graphics Designer
9,7,9,6,2,3,5,3,7,4,7,4,4,3,1,3,9,5,10,Cartoon,Illustration Artist
6,7,5,4,5,6,2,3,5,5,5,6,3,2,9,2,5,5,5,Classic,Interior Designer
